File Name,Talchum Important
MC01_A03_B047_CA1_M0013_4815.json,"채찍 들고 뛰는 동작 발끝에 밑으로 힘주고, 채찍 양손 돌리며 쪼그려 돌며뛰기"
MC01_A03_B052_CA1_M0015_8670.json,부채를 펴고 접고 내밀고 뒤로 넘기며 표현하는 동작.
MC01_A01_B013_CA1_M0003_2400.json,"1.빠른걸음춤, 앉아뛰기, 외사위 2.할미는 엉덩이춤, 영감은 빠른걸음 춤"
MC01_A03_B049_CA1_M0009_19440.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A05_B080_CA1_M0012_5520.json,"화장무, 자진화장, 곱사위, 여다지, 어깨치기, 빗사위, 거울보기, 깨끼리, 멍석말이"
MC01_A02_B033_CA1_M0003_1125.json,"부채와 지팡이, 활용 춤"
MC01_A01_B015_CA1_M0003_735.json,"외사위, 겹사위"
MC01_A05_B075_CA1_M0003_1890.json,곤장을 양손에 들고 올리고 내리면서 힘차게 발을 올리면서 추는 춤
MC01_A03_B054_CA1_M0012_6015.json," 팔들고 걷기, 양팔모아 안으로 접기, 팔 머리 뒤로 돌리기"
MC01_A09_B094_CA1_M0005_2235.json,"배김사위, 앞배김새, 뒷배김새, 겨드랑배김새 동작이 강하여 뛰어서 땅을 내려 누르듯이 힘차게 착지하는 동작."
MC01_A01_B004_CA1_M0005_6465.json,홍태기가 툭 덜어지는 맛으로 춤을 춘다
MC01_A07_B090_CA1_M0004_930.json,말채를 머리 위로 힘차게 휘두르며 빠른 굿거리 장단에 맞춰 도약한다. 
MC01_A05_B077_CA1_M0002_3405.json,삼진삼퇴 및 마속무
MC01_A02_B026_CA1_M0007_4305.json,"보일듯 말듯한 몸짓, 싫다는 고개 흔드는 동작"
MC01_A02_B030_CA1_M0016_12105.json,"가벼우면서도 건들거리며 찍고 중심 이동하는 춤, 흥을 뱉어 내는 동작"
MC01_A06_B086_CA1_M0002_1305.json,팔을 크게 들고 돈다
MC01_A04_B061_CA1_M0003_3360.json,힘겹게 일어나 소무들을 취하는 동작.
MC01_A01_B014_CA1_M0005_1975.json,돌며 뿌리는 동작
MC01_A03_B047_CA1_M0008_2880.json,"채찍 들고 뛰는 동작 발끝에 밑으로 힘주고, 채찍 양손 돌리며 쪼그려 돌며뛰기"
MC01_A04_B057_CA1_M0005_2790.json,1.빗사위 후 서로 등을 지고 하는 고개잡이. 2.장삼을 휘두르는 동작.
MC01_A09_B099_CA1_M0003_1665.json,"돌림사위, 울음태사위"
MC01_A03_B052_CA1_M0015_8220.json,부채를 펴고 접고 내밀고 뒤로 넘기며 표현하는 동작.
MC01_A03_B050_CA1_M0015_4560.json," 양팔을 돌리며 오른쪽, 왼쪽, 가운데 춤으로 앉아뛰기"
MC01_A03_B039_CA1_M0001_195.json,"제끼는사위,한삼을 머리 위 앞에서 뒤로 쳐준다. 엎는사위,한삼을 뒤에서 앞으로 쳐준다."
MC01_A06_B081_CA1_M0002_5445.json,"북채를 떨어 뜨린다
북을 잡으려다 놓치고 운다
결국 북을 쥐고 신나게 춤을춘다"
MC01_A02_B028_CA1_M0006_1560.json,"1.무등타기 2.고개잡이, 점프, 다리들기, 사자서기"
MC01_A06_B085_CA1_M0004_2400.json,쪼그려 앉아서 오줌을 싼다
MC01_A02_B025_CA1_M0003_2535.json,염불의 느린 동작으로 지팡이를 폐어야 하는 동작
MC01_A02_B021_CA1_M0009_3375.json,도리깨질 사위
MC01_A02_B016_CA1_M0001_2070.json,중앙 바라보며 오른손으로 안팎을 장삼 휘날림
MC01_A01_B011_CA1_M0001_390.json,"앉아 뛰기, 돌아앉아 뛰기 삼계집과 눈맞추기"
MC01_A03_B052_CA1_M0007_4035.json,부채를 펴고 접고 내밀고 뒤로 넘기며 표현하는 동작.
MC01_A06_B087_CA1_M0006_3645.json,"배김새, 으시개, 베기"
MC01_A04_B061_CA1_M0006_7785.json,힘겹게 일어나 소무들을 취하는 동작.
MC01_A02_B030_CA1_M0010_7185.json,"가벼우면서도 건들거리며 찍고 중심 이동하는 춤, 흥을 뱉어 내는 동작"
MC01_A07_B088_CA1_M0025_8580.json,"코풀사위, 배김사위, 배김새가락이 나오면 추는 사위로 통영오광대의 가장 특징적인 사위."
MC01_A05_B071_CA1_M0002_4380.json,양손을 들고 좌우로 장단변화에 따라 양손을 올리고 내리면서 추는 춤사위
MC01_A01_B002_CA1_M0001_240.json,"연풍대, 오른손 땅을 치고 어깨에 얹으며 쪼그려 앉아서 돌기 ,돌아앉아뛰기와 비슷, 이어서 왼손 동일하게 돌아앉아 뛰기"
MC01_A02_B018_CA1_M0004_1455.json,한삼이 높이 들리도록 춤의 크기가 커야 한다.
MC01_A07_B089_CA1_M0003_820.json,배김사위 장단에 맞춰 이루어지는 배김사위
MC01_A03_B049_CA1_M0007_12720.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A07_B088_CA1_M0012_2845.json,"코풀사위, 배김사위, 배김새가락이 나오면 추는 사위로 통영오광대의 가장 특징적인 사위."
MC01_A02_B016_CA1_M0002_2475.json,중앙 바라보며 오른손으로 안팎을 장삼 휘날림
MC01_A03_B040_CA1_M0013_4245.json,"왼쪽, 오른쪽 순으로 옆보고 뛰면서 팔을 엎고 뒤집은 동작."
MC01_A04_B055_CA1_M0003_2400.json,"합장재배, 벽사진경의 의식무로서 연희초반 마당을 정화하는 대표적 동작"
MC01_A06_B083_CA1_M0002_1365.json,뛰어 배김새
MC01_A06_B087_CA1_M0005_3240.json,"배김새, 으시개, 베기"
MC01_A03_B049_CA1_M0001_15.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A02_B033_CA1_M0005_2250.json,"부채와 지팡이, 활용 춤"
MC01_A09_B094_CA1_M0003_1140.json,"배김사위, 앞배김새, 뒷배김새, 겨드랑배김새 동작이 강하여 뛰어서 땅을 내려 누르듯이 힘차게 착지하는 동작."
MC01_A01_B015_CA1_M0002_365.json,"외사위, 겹사위"
MC01_A02_B033_CA1_M0002_555.json,"부채와 지팡이, 활용 춤"
MC01_A03_B039_CA1_M0003_870.json,"제끼는사위,한삼을 머리 위 앞에서 뒤로 쳐준다. 엎는사위,한삼을 뒤에서 앞으로 쳐준다."
MC01_A02_B020_CA1_M0008_2145.json,대나무 마디 잡아가는 동작
MC01_A03_B045_CA1_M0002_645.json,왼쪽으로 높이 뛰어 2번 도는사위
MC01_A02_B018_CA1_M0001_465.json,한삼이 높이 들리도록 춤의 크기가 커야 한다.
MC01_A09_B098_CA1_M0004_3720.json,"배김사위, 할멈 및 제대각시와의 대무. 일자사위"
MC01_A07_B092_CA1_M0002_485.json,배김사위
MC01_A03_B038_CA1_M0003_3945.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A05_B071_CA1_M0002_4800.json,양손을 들고 좌우로 장단변화에 따라 양손을 올리고 내리면서 추는 춤사위
MC01_A03_B048_CA1_M0007_4845.json,4박 돌기 및 8박 돌기
MC01_A01_B001_CA1_M0005_5100.json,"1.좌뛰기, 우뛰기 2.간격, 점프,꼬리흔들기"
MC01_A03_B037_CA1_M0004_1485.json,발 맞추기
MC01_A02_B016_CA1_M0001_1125.json,중앙 바라보며 오른손으로 안팎을 장삼 휘날림
MC01_A07_B088_CA1_M0011_2390.json,"코풀사위, 배김사위, 배김새가락이 나오면 추는 사위로 통영오광대의 가장 특징적인 사위."
MC01_A03_B042_CA1_M0008_2730.json,"왼쪽, 오른쪽 순으로 앉아서 한삼을 치는 춤."
MC01_A03_B052_CA1_M0005_2055.json,부채를 펴고 접고 내밀고 뒤로 넘기며 표현하는 동작.
MC01_A04_B056_CA1_M0003_5865.json,사방을 돌며 용이 꿈틀 거리는 모습을 표현하는 동작.
MC01_A03_B049_CA1_M0040_35145.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A03_B041_CA1_M0013_4785.json," 힘차게 올림사위, 두번돌고 대비되는 앉았다. 좌.우 일어나는 동작."
MC01_A07_B090_CA1_M0005_1640.json,말채를 머리 위로 힘차게 휘두르며 빠른 굿거리 장단에 맞춰 도약한다. 
MC01_A01_B011_CA1_M0001_810.json,"앉아 뛰기, 돌아앉아 뛰기 삼계집과 눈맞추기"
MC01_A06_B087_CA1_M0009_6510.json,"배김새, 으시개, 베기"
MC01_A02_B016_CA1_M0001_1575.json,중앙 바라보며 오른손으로 안팎을 장삼 휘날림
MC01_A07_B091_CA1_M0013_8280.json,손을 들며 머리를 쓸어내리는 듯한 동작.
MC01_A01_B012_CA1_M0001_780.json,"엉덩이춤, 지팡이를 들고 뛰는 동작"
MC01_A03_B049_CA1_M0034_32490.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A03_B049_CA1_M0004_4650.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A03_B038_CA1_M0003_4500.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A02_B016_CA1_M0003_4440.json,중앙 바라보며 오른손으로 안팎을 장삼 휘날림
MC01_A06_B085_CA1_M0005_4065.json,쪼그려 앉아서 오줌을 싼다
MC01_A01_B012_CA1_M0004_4785.json,"엉덩이춤, 지팡이를 들고 뛰는 동작"
MC01_A05_B078_CA1_M0003_1065.json,"화장무, 거울보기"
MC01_A09_B098_CA1_M0005_5715.json,"배김사위, 할멈 및 제대각시와의 대무. 일자사위"
MC01_A01_B004_CA1_M0002_3375.json,홍태기가 툭 덜어지는 맛으로 춤을 춘다
MC01_A03_B038_CA1_M0012_16830.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A01_B010_CA1_M0009_4455.json,"오른발 들고 허리를 채며 녹음,풀,을 어깨로 넘긴다"
MC01_A03_B052_CA1_M0022_11880.json,부채를 펴고 접고 내밀고 뒤로 넘기며 표현하는 동작.
MC01_A05_B068_CA1_M0006_6480.json,"합장재배의 합장 높이들기, 사방재배에서 삼진과 방향전환하기. 타령장단에 따른 기본 춤사위 중 여다지, 자진화장, 어깨치기 등"
MC01_A09_B096_CA1_M0001_615.json,"배김사위, 휘두름사위."
MC01_A03_B047_CA1_M0013_4395.json,"채찍 들고 뛰는 동작 발끝에 밑으로 힘주고, 채찍 양손 돌리며 쪼그려 돌며뛰기"
MC01_A03_B047_CA1_M0010_3405.json,"채찍 들고 뛰는 동작 발끝에 밑으로 힘주고, 채찍 양손 돌리며 쪼그려 돌며뛰기"
MC01_A01_B002_CA1_M0003_1590.json,"연풍대, 오른손 땅을 치고 어깨에 얹으며 쪼그려 앉아서 돌기 ,돌아앉아뛰기와 비슷, 이어서 왼손 동일하게 돌아앉아 뛰기"
MC01_A03_B047_CA1_M0005_1035.json,"채찍 들고 뛰는 동작 발끝에 밑으로 힘주고, 채찍 양손 돌리며 쪼그려 돌며뛰기"
MC01_A09_B095_CA1_M0010_7050.json," 역동새, 배김사위, 일자사위."
MC01_A01_B003_CA1_M0003_2555.json,곤장을 양손에 들고 내리면서 힘있게 발을 올리면서 추는 춤사위
MC01_A02_B030_CA1_M0014_9825.json,"가벼우면서도 건들거리며 찍고 중심 이동하는 춤, 흥을 뱉어 내는 동작"
MC01_A04_B055_CA1_M0010_13590.json,"합장재배, 벽사진경의 의식무로서 연희초반 마당을 정화하는 대표적 동작"
MC01_A05_B076_CA1_M0002_450.json,채찍을 양손에 들고 추는 갈지자로 힘차게 뛰는 춤. 채찍을 휘두르는 춤사위.
MC01_A03_B049_CA1_M0010_19800.json,엎드려서 좌.우를 느리게 보는 동작
MC01_A04_B057_CA1_M0007_3465.json,1.빗사위 후 서로 등을 지고 하는 고개잡이. 2.장삼을 휘두르는 동작.
MC01_A03_B038_CA1_M0005_8580.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A04_B064_CA1_M0004_1785.json,"왼손을 등허리에 대고 오른손으로 채찍을 들고, 좌우로 흔들면서 걷는 뒷까치 걸음"
MC01_A05_B072_CA1_M0008_5040.json,휘둘름 동작의 활발성과 소무와의 자연스런 연결동작이 필요함.
MC01_A05_B080_CA1_M0010_3540.json,"화장무, 자진화장, 곱사위, 여다지, 어깨치기, 빗사위, 거울보기, 깨끼리, 멍석말이"
MC01_A01_B015_CA1_M0001_100.json,"외사위, 겹사위"
MC01_A09_B098_CA1_M0003_2970.json,"배김사위, 할멈 및 제대각시와의 대무. 일자사위"
MC01_A03_B054_CA1_M0005_2445.json," 팔들고 걷기, 양팔모아 안으로 접기, 팔 머리 뒤로 돌리기"
MC01_A03_B054_CA1_M0011_5115.json," 팔들고 걷기, 양팔모아 안으로 접기, 팔 머리 뒤로 돌리기"
MC01_A02_B028_CA1_M0015_3720.json,"1.무등타기 2.고개잡이, 점프, 다리들기, 사자서기"
MC01_A09_B095_CA1_M0007_4845.json," 역동새, 배김사위, 일자사위."
MC01_A03_B054_CA1_M0010_4935.json," 팔들고 걷기, 양팔모아 안으로 접기, 팔 머리 뒤로 돌리기"
MC01_A01_B009_CA1_M0002_4395.json,좌우로 움직일때 뫼산자를 그리며 허리채기
MC01_A01_B010_CA1_M0003_1575.json,"오른발 들고 허리를 채며 녹음,풀,을 어깨로 넘긴다"
MC01_A01_B006_CA1_M0001_480.json,"합장, 스텝, 뿌리고 채는 동작"
MC01_A02_B020_CA1_M0003_1050.json,대나무 마디 잡아가는 동작
MC01_A02_B030_CA1_M0021_15855.json,"가벼우면서도 건들거리며 찍고 중심 이동하는 춤, 흥을 뱉어 내는 동작"
MC01_A02_B033_CA1_M0001_360.json,"부채와 지팡이, 활용 춤"
MC01_A03_B039_CA1_M0004_1380.json,"제끼는사위,한삼을 머리 위 앞에서 뒤로 쳐준다. 엎는사위,한삼을 뒤에서 앞으로 쳐준다."
MC01_A03_B038_CA1_M0011_15045.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A10_B101_CA1_M0001_1845.json,"팔동작, 다리동작, 굴신등 베김사위 동작"
MC01_A01_B009_CA1_M0001_3405.json,좌우로 움직일때 뫼산자를 그리며 허리채기
MC01_A05_B075_CA1_M0003_1740.json,곤장을 양손에 들고 올리고 내리면서 힘차게 발을 올리면서 추는 춤
MC01_A07_B088_CA1_M0021_6870.json,"코풀사위, 배김사위, 배김새가락이 나오면 추는 사위로 통영오광대의 가장 특징적인 사위."
MC01_A02_B030_CA1_M0019_14385.json,"가벼우면서도 건들거리며 찍고 중심 이동하는 춤, 흥을 뱉어 내는 동작"
MC01_A02_B024_CA1_M0002_615.json,주저 앉는 동작
MC01_A09_B096_CA1_M0006_5415.json,"배김사위, 휘두름사위."
MC01_A09_B096_CA1_M0010_8385.json,"배김사위, 휘두름사위."
MC01_A04_B055_CA1_M0007_7650.json,"합장재배, 벽사진경의 의식무로서 연희초반 마당을 정화하는 대표적 동작"
MC01_A01_B003_CA1_M0003_2410.json,곤장을 양손에 들고 내리면서 힘있게 발을 올리면서 추는 춤사위
MC01_A03_B038_CA1_M0008_12555.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A03_B054_CA1_M0009_4305.json," 팔들고 걷기, 양팔모아 안으로 접기, 팔 머리 뒤로 돌리기"
MC01_A01_B011_CA1_M0001_60.json,"앉아 뛰기, 돌아앉아 뛰기 삼계집과 눈맞추기"
MC01_A02_B034_CA1_M0006_1845.json,"엉덩이를 좌.우로 돌리는 동작, 부채와.지팡이를 사용하면서"
MC01_A09_B096_CA1_M0006_5100.json,"배김사위, 휘두름사위."
MC01_A09_B096_CA1_M0008_6630.json,"배김사위, 휘두름사위."
MC01_A09_B098_CA1_M0003_2835.json,"배김사위, 할멈 및 제대각시와의 대무. 일자사위"
MC01_A06_B084_CA1_M0002_2925.json,선녀 두 명과 놀고 난후 큰 배김새
MC01_A06_B084_CA1_M0024_19305.json,선녀 두 명과 놀고 난후 큰 배김새
MC01_A03_B039_CA1_M0004_1695.json,"제끼는사위,한삼을 머리 위 앞에서 뒤로 쳐준다. 엎는사위,한삼을 뒤에서 앞으로 쳐준다."
MC01_A09_B096_CA1_M0001_750.json,"배김사위, 휘두름사위."
MC01_A03_B050_CA1_M0021_6255.json," 양팔을 돌리며 오른쪽, 왼쪽, 가운데 춤으로 앉아뛰기"
MC01_A06_B084_CA1_M0003_3555.json,선녀 두 명과 놀고 난후 큰 배김새
MC01_A01_B009_CA1_M0002_4680.json,좌우로 움직일때 뫼산자를 그리며 허리채기
MC01_A03_B047_CA1_M0005_1170.json,"채찍 들고 뛰는 동작 발끝에 밑으로 힘주고, 채찍 양손 돌리며 쪼그려 돌며뛰기"
MC01_A03_B047_CA1_M0010_3540.json,"채찍 들고 뛰는 동작 발끝에 밑으로 힘주고, 채찍 양손 돌리며 쪼그려 돌며뛰기"
MC01_A01_B007_CA1_M0005_1945.json,"합장, 스텝, 뿌리고 채는 동작"
MC01_A02_B026_CA1_M0010_8670.json,"보일듯 말듯한 몸짓, 싫다는 고개 흔드는 동작"
MC01_A05_B077_CA1_M0002_4905.json,삼진삼퇴 및 마속무
MC01_A03_B038_CA1_M0008_12105.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A04_B055_CA1_M0019_18585.json,"합장재배, 벽사진경의 의식무로서 연희초반 마당을 정화하는 대표적 동작"
MC01_A04_B067_CA1_M0002_495.json,"깨끼, 양주만의 발 디딤새로 앞꿈치로 가볍게 디디는 특징"
MC01_A05_B079_CA1_M0007_3030.json,송파산대놀이의 기본 춤사위를 깨끼걸음과 건들걸음에 맞춰 원으로 도는 춤사위
MC01_A02_B024_CA1_M0002_750.json,주저 앉는 동작
MC01_A09_B096_CA1_M0006_5550.json,"배김사위, 휘두름사위."
MC01_A02_B035_CA1_M0006_1605.json,"1. 할멈을 찾을때 부채를 이용한 시선 방향 2.영감과 할미의 합궁 춤,성 행위를 나타내는 춤,"
MC01_A03_B047_CA1_M0006_1575.json,"채찍 들고 뛰는 동작 발끝에 밑으로 힘주고, 채찍 양손 돌리며 쪼그려 돌며뛰기"
MC01_A06_B084_CA1_M0003_3105.json,선녀 두 명과 놀고 난후 큰 배김새
MC01_A03_B038_CA1_M0007_10515.json,손을 합장하고 등장하여 양팔을 크게 벌려 원 그린 후 다시 모으는 동작을 사방에 함.
MC01_A08_B093_CA1_M0007_1180.json,"모삼치기, 깊은무릎 오금춤, 좌우어깨춤, 반시계방향, 오른손, 오른발, 왼손, 왼발 활개치기."
MC01_A05_B072_CA1_M0003_855.json,휘둘름 동작의 활발성과 소무와의 자연스런 연결동작이 필요함.
MC01_A02_B033_CA1_M0001_225.json,"부채와 지팡이, 활용 춤"
MC01_A05_B076_CA1_M0001_60.json,채찍을 양손에 들고 추는 갈지자로 힘차게 뛰는 춤. 채찍을 휘두르는 춤사위.
MC01_A01_B012_CA1_M0003_2085.json,"엉덩이춤, 지팡이를 들고 뛰는 동작"
MC01_A09_B096_CA1_M0001_300.json,"배김사위, 휘두름사위."
MC01_A02_B026_CA1_M0010_8220.json,"보일듯 말듯한 몸짓, 싫다는 고개 흔드는 동작"
MC01_A06_B082_CA1_M0008_4290.json,"첫 입장 배김새, 큰 배김새"
MC01_A03_B040_CA1_M0017_5955.json,"왼쪽, 오른쪽 순으로 옆보고 뛰면서 팔을 엎고 뒤집은 동작."
MC01_A09_B095_CA1_M0010_7545.json,"역동새, 배김사위, 일자사위."
